2023-09-15T17:16:43,921 [Thread-0] INFO  (DeleteAttributeApplication.java:136) - -------------Delete attributes & Update workflow application started-----------------
2023-09-15T17:16:45,276 [Thread-0] INFO  (DeleteAttributeApplication.java:145) - <<<<<<Application running for the project BU4_Playground_SYS_RM , BU4_Playground_SYS_RM , BU4_Playground_SYS_RM_Generic>>>>>>>>
2023-09-15T17:16:59,260 [Thread-0] INFO  (RestUtility.java:976) - baseline test_cs has been created for the project BU4_Playground_SYS_RM,BU4_Playground_SYS_RM_Generic
2023-09-15T17:16:59,906 [Thread-0] INFO  (DeleteAttributeApplication.java:333) - Changeset BU4_Playground_SYS_RM_Generic_tes_bl has been created 
2023-09-15T17:17:06,503 [Thread-0] INFO  (DeleteAttributeApplication.java:256) - Deleting attribute data type for the project BU4_Playground_SYS_RM , BU4_Playground_SYS_RM , BU4_Playground_SYS_RM_Generic
2023-09-15T17:39:43,261 [Thread-0] INFO  (DeleteAttributeApplication.java:136) - -------------Delete attributes & Update workflow application started-----------------
2023-09-15T17:39:44,517 [Thread-0] INFO  (DeleteAttributeApplication.java:145) - <<<<<<Application running for the project BU4_Playground_SYS_RM , BU4_Playground_SYS_RM , BU4_Playground_SYS_RM_Generic>>>>>>>>
2023-09-15T17:39:56,171 [Thread-0] INFO  (RestUtility.java:978) - baseline test22 has been created for the project BU4_Playground_SYS_RM,BU4_Playground_SYS_RM_Generic
2023-09-15T17:39:57,583 [Thread-0] INFO  (DeleteAttributeApplication.java:333) - Changeset BU4_Playground_SYS_RM_Generic_werew has been created 
2023-09-15T17:40:04,419 [Thread-0] INFO  (DeleteAttributeApplication.java:256) - Deleting attribute data type for the project BU4_Playground_SYS_RM , BU4_Playground_SYS_RM , BU4_Playground_SYS_RM_Generic
2023-09-15T17:41:07,682 [Thread-0] ERROR (RestUtility.java:858) - exception while PUT request for the url Domains
