2023-09-21T10:20:05,188 [Thread-0] INFO  (DeleteAttributeApplication.java:136) - -------------Delete attributes & Update workflow application started-----------------
2023-09-21T10:20:05,900 [Thread-0] INFO  (DeleteAttributeApplication.java:145) - <<<<<<Application running for the project BU4_Playground_SYS_RM , BU4_Playground_SYS_RM , BU4_Playground_SYS_RM_Generic>>>>>>>>
2023-09-21T10:20:17,426 [Thread-0] INFO  (RestUtility.java:978) - baseline test_val has been created for the project BU4_Playground_SYS_RM,BU4_Playground_SYS_RM_Generic
2023-09-21T10:20:17,875 [Thread-0] INFO  (DeleteAttributeApplication.java:333) - Changeset BU4_Playground_SYS_RM_Generic_test_val has been created 
2023-09-21T10:20:22,079 [Thread-0] INFO  (DeleteAttributeApplication.java:256) - Deleting attribute data type for the project BU4_Playground_SYS_RM , BU4_Playground_SYS_RM , BU4_Playground_SYS_RM_Generic
2023-09-21T10:22:00,362 [Thread-0] INFO  (DeleteAttributeApplication.java:145) - <<<<<<Application running for the project ADCU_L2_RM , ADCU_L2_RM , ADCU_L2_RM_Migration>>>>>>>>
2023-09-21T10:29:45,400 [Thread-0] INFO  (RestUtility.java:978) - baseline test_val has been created for the project ADCU_L2_RM,ADCU_L2_RM_Migration
2023-09-21T10:29:46,087 [Thread-0] INFO  (DeleteAttributeApplication.java:333) - Changeset ADCU_L2_RM_Migration_test_val has been created 
2023-09-21T10:29:55,045 [Thread-0] INFO  (DeleteAttributeApplication.java:136) - -------------Delete attributes & Update workflow application started-----------------
2023-09-21T10:30:54,595 [Thread-0] INFO  (DeleteAttributeApplication.java:145) - <<<<<<Application running for the project BU4_Playground_SYS_RM , BU4_Playground_SYS_RM , BU4_Playground_SYS_RM_Generic>>>>>>>>
2023-09-21T10:33:12,776 [Thread-0] INFO  (RestUtility.java:978) - baseline test_val has been created for the project BU4_Playground_SYS_RM,BU4_Playground_SYS_RM_Generic
2023-09-21T10:33:13,435 [Thread-0] INFO  (DeleteAttributeApplication.java:334) - Changeset BU4_Playground_SYS_RM_Generic_test_val has been created 
2023-09-21T10:33:24,444 [Thread-0] INFO  (DeleteAttributeApplication.java:257) - Deleting attribute data type for the project BU4_Playground_SYS_RM , BU4_Playground_SYS_RM , BU4_Playground_SYS_RM_Generic
2023-09-21T11:40:03,233 [Thread-0] INFO  (DeleteAttributeApplication.java:145) - <<<<<<Application running for the project ADCU_L2_RM , ADCU_L2_RM , ADCU_L2_RM_Migration>>>>>>>>
2023-09-21T11:41:32,931 [Thread-0] INFO  (DeleteAttributeApplication.java:136) - -------------Delete attributes & Update workflow application started-----------------
2023-09-21T11:41:33,770 [Thread-0] INFO  (DeleteAttributeApplication.java:145) - <<<<<<Application running for the project BU4_Playground_SYS_RM , BU4_Playground_SYS_RM , BU4_Playground_SYS_RM_Generic>>>>>>>>
2023-09-21T11:41:58,411 [Thread-0] INFO  (RestUtility.java:978) - baseline test_val has been created for the project BU4_Playground_SYS_RM,BU4_Playground_SYS_RM_Generic
2023-09-21T11:41:59,301 [Thread-0] INFO  (DeleteAttributeApplication.java:334) - Changeset BU4_Playground_SYS_RM_Generic_test_val has been created 
2023-09-21T11:42:05,348 [Thread-0] INFO  (DeleteAttributeApplication.java:257) - Deleting attribute data type for the project BU4_Playground_SYS_RM , BU4_Playground_SYS_RM , BU4_Playground_SYS_RM_Generic
2023-09-21T17:34:12,686 [Thread-0] INFO  (DeleteAttributeApplication.java:136) - -------------Delete attributes & Update workflow application started-----------------
2023-09-21T17:34:13,364 [Thread-0] INFO  (DeleteAttributeApplication.java:145) - <<<<<<Application running for the project BU4_Playground_SYS_RM , BU4_Playground_SYS_RM , BU4_Playground_SYS_RM_Generic>>>>>>>>
2023-09-21T17:34:20,179 [Thread-0] INFO  (RestUtility.java:989) - baseline test_one has been created for the project BU4_Playground_SYS_RM,BU4_Playground_SYS_RM_Generic
2023-09-21T17:34:20,629 [Thread-0] INFO  (DeleteAttributeApplication.java:334) - Changeset BU4_Playground_SYS_RM_Generic_test_one has been created 
2023-09-21T17:34:23,638 [Thread-0] INFO  (DeleteAttributeApplication.java:257) - Deleting attribute data type for the project BU4_Playground_SYS_RM , BU4_Playground_SYS_RM , BU4_Playground_SYS_RM_Generic
